id,page_id,data_type_code
1966,3971,PDF
1984,4012,PDF
1997,3989,PDF
2009,4044,PDF
2014,5785,DOC
2044,3385,DOC
2070,16775,DOC
2080,2838,PDF
2100,4051,PDF
2105,17708,PDF
2109,3602,DOC
2225,18474,PDF
2222,18476,PDF
2237,18510,PDF
2285,18454,PDF
2307,18540,PDF
2312,18541,PDF
2355,18482,PDF
2337,18475,PDF
2352,18544,PDF
2387,4144,PPT
2390,4146,PDF
2394,18797,DOC
2424,2616,PDF
2435,19023,PDF
2469,18925,PDF
2475,18949,PDF
2519,3406,DOC
2584,20315,PDF
2589,20334,DOC
2600,20348,PDF
2615,20385,DOC
2629,20427,PDF
2660,20479,PDF
2692,20531,PDF
2736,20534,DOC
2737,20537,PDF
2761,20572,DOC
2783,20550,PDF
2794,20545,PDF
2811,20592,PDF
2830,20612,PDF
2837,20621,DOC
2851,20634,PDF
2865,20657,PDF
2897,20677,DOC
2898,20691,DOC
2901,20681,PDF
2919,20683,DOC
2939,20708,PDF
2950,20716,PDF
2957,20711,DOC
2973,20753,DOC
2978,20757,DOC
2979,20758,PDF
2987,20720,PDF
2986,20571,PDF
3012,20737,PDF
3016,20762,PDF
3018,20760,DOC
3028,20779,PDF
3039,20759,PDF
3043,20785,DOC
3044,20787,PDF
3047,20763,PDF
3060,20767,DOC
3067,20774,DOC
3071,20774,DOC
3076,20777,DOC
3077,20789,PDF
3087,20794,PDF
3088,20793,DOC
322,6329,PDF
340,6363,DOC
373,714,PDF
393,750,PDF
447,596,PDF
487,7741,DOC
496,7352,PDF
541,7426,PDF
560,7395,PDF
565,7894,DOC
587,3460,DOC
616,3217,PDF
622,3217,PDF
626,3230,PDF
631,1985,DOC
641,9132,DOC
647,9172,DOC
669,1483,PDF
693,9570,PDF
734,9595,PDF
754,9680,DOC
775,9654,PDF
838,9713,PDF
854,9507,PDF
865,9707,PDF
869,9675,PDF
895,9414,PDF
902,9426,PDF
931,1996,DOC
957,1488,PDF
979,1502,PDF
999,10939,PDF
1003,10948,PDF
1030,10941,DOC
1033,10958,PDF
1044,10958,PDF
1056,10973,DOC
1064,10977,DOC
1070,11051,PDF
1090,1504,PDF
1115,1527,PDF
1126,1515,PDF
1145,12231,DOC
1182,5767,DOC
1268,14567,PDF
1292,14584,PDF
1324,14594,PDF
1335,14606,PDF
1344,14658,PDF
1366,14647,PDF
1369,14668,PDF
1392,14777,DOC
1419,2239,DOC
1452,15376,DOC
1486,15693,DOC
1519,15687,DOC
1553,15465,PDF
1584,16059,DOC
1593,16084,DOC
1617,16118,DOC
1639,15422,PDF
1651,15435,PDF
1677,15523,DOC
1693,15571,PDF
1667,15491,PDF
1715,16031,DOC
1739,15817,PDF
1761,15828,PDF
1778,16032,PDF
1788,15758,PDF
1797,15826,PDF
1818,15732,PDF
1861,15576,PDF
1899,15665,DOC
1923,16228,DOC
1951,3960,DOC
1967,3987,PDF
1982,4021,PDF
1990,4026,PDF
1999,3989,PDF
2012,5783,DOC
2021,4090,PDF
2038,3947,PDF
2071,16776,DOC
2079,2838,PDF
2107,4022,PDF
2154,18411,PDF
2178,3780,PDF
2247,18473,PDF
2242,18484,PDF
2305,18762,PDF
2297,18483,PDF
2363,18491,PDF
2338,18471,PDF
2369,18500,PDF
2329,18518,PDF
2388,4144,PPT
2389,4146,PDF
2425,2747,PDF
2441,19025,PDF
2478,18963,PDF
2473,18955,DOC
2525,3410,DOC
2533,3834,PDF
2542,3817,PPT
2550,2468,PDF
2565,5848,DOC
2591,20339,PDF
2612,20370,PDF
2628,20415,PDF
2655,20461,PDF
2682,20499,PDF
2716,20584,PDF
2721,20588,PDF
2747,20539,PDF
2771,20613,PDF
2776,20580,PDF
2800,20564,PDF
2812,20604,PDF
2839,20627,PDF
2845,20637,PDF
2889,20677,DOC
2900,20692,PDF
2908,20677,DOC
2930,20703,DOC
2940,20713,PDF
2951,20713,PDF
2962,20714,PDF
2981,20758,PDF
2990,20720,PDF
351,6374,PDF
415,753,PDF
448,589,DOC
490,7741,DOC
526,7357,PDF
530,7401,PDF
556,7168,DOC
566,7894,DOC
588,3460,DOC
632,3233,PDF
643,9164,PDF
695,9572,PDF
735,9640,PDF
746,9647,PDF
753,9680,DOC
806,9505,PDF
808,9516,PDF
834,9678,PDF
861,9690,PDF
891,9688,PDF
897,10370,PDF
899,9419,PDF
932,1996,DOC
977,1495,PDF
1028,10944,PDF
1049,10962,DOC
1054,10961,PDF
1061,10974,DOC
1068,11040,PDF
1091,1504,PDF
1132,1508,PDF
1151,12594,DOC
1156,12554,DOC
1168,12727,DOC
1191,1988,DOC
1194,13940,DOC
1204,3927,PDF
1253,14597,PDF
1266,14562,PDF
1303,14624,PDF
1317,14649,PDF
1320,14651,PDF
1371,14637,DOC
1387,14722,PDF
1420,15309,PDF
1435,15338,PDF
1456,15376,DOC
1465,15367,PDF
1512,15726,PDF
1542,15441,PDF
1571,16072,PDF
1588,16071,DOC
1618,16116,DOC
1642,15422,PDF
1627,15553,PDF
1684,15545,PDF
1669,15495,PDF
1720,16038,DOC
1751,15847,PDF
1762,15828,PDF
1775,15869,PDF
1784,15790,PDF
1801,15826,PDF
1819,15734,PDF
1862,15497,PDF
1909,15670,DOC
1933,16280,DOC
1944,3950,DOC
2006,3985,PDF
2030,2615,PDF
2049,3385,DOC
2059,2277,PDF
2072,16776,DOC
2102,4054,PDF
2110,3583,PDF
2127,4137,PPT
2190,18432,PDF
2212,18468,PDF
2240,18478,PDF
2268,18447,PDF
2298,18754,DOC
2304,18762,PDF
2341,18549,PDF
2358,18544,PDF
2326,18530,PDF
2427,2780,PDF
2448,19054,PDF
2479,18971,PDF
2513,2813,PDF
2566,14663,PDF
2570,3635,DOC
2604,20348,PDF
2621,20378,PDF
2654,20470,PDF
2677,20500,PDF
2685,20511,PDF
2715,20584,PDF
2727,20528,PDF
2751,20555,PDF
2770,20608,DOC
2778,20535,PDF
2801,20566,PDF
2824,20604,PDF
2853,20632,PDF
2864,20657,PDF
2885,20691,DOC
2903,20682,PDF
2910,20682,PDF
2936,20708,PDF
2941,20708,PDF
2952,20716,PDF
2963,20711,DOC
2977,20758,PDF
2980,20725,DOC
2983,20744,PDF
2997,20758,PDF
3003,20730,PDF
3019,20762,PDF
3022,20762,PDF
3023,20764,DOC
3033,20764,DOC
3036,20759,PDF
3045,20785,DOC
3059,20769,PDF
3057,20780,PDF
3061,20767,DOC
3062,20767,DOC
3064,20771,DOC
3075,20774,DOC
3078,20777,DOC
3084,20791,PDF
3090,20794,PDF
3094,20793,DOC
3093,20773,PDF
3097,20776,PDF
3100,20797,DOC
413,926,PDF
425,740,PDF
426,740,PDF
451,603,PDF
450,603,PDF
453,2018,DOC
477,7732,DOC
480,7737,DOC
491,7742,DOC
501,7318,PDF
515,7338,PDF
